Route,Name,Grade,FA,Country,Area,Date
Catalan Witness the Fitness,Jernej Kruder,15,,Spain,Cova de l'Ocell,03/07/2017
Catalan Witness the Fitness,Martin Stranik,15,,Spain,Cova de l'Ocell,12/24/2016
Catalan Witness the Fitness,Alberto Rocasolano,15,,Spain,Cova de l'Ocell,12/5/2013
Catalan Witness the Fitness,Chris Sharma,15,FA,Spain,Cova de l'Ocell,02/08/2016
Catalan Witness the Fitness,Dave Macleod,15,,Spain,Cova de l'Ocell,02/04/2018
Catalan Witness the Fitness,Jakob Schubert,15,,Spain,Cova de l'Ocell,01/15/2018
Catalan Witness the Fitness,Nacho Sanchez,15,,Spain,Cova de l'Ocell,02/29/2016
Catalan Witness the Fitness,Pol Roca Lopez,15,,Spain,Cova de l'Ocell,01/04/2019
Catalan Witness the Fitness,Beto Rocasolano,15,,Spain,Cova de l'Ocell,02/19/2016
Cháron,Adam Ondra,15,FA,Czech Republic,Petrohrad,10/15/2011
Childhood Dreams,Lukas Mayerhofer,15,FA,Austria,NÖ,12/29/2019
Childhood Dreams,Moritz Maierhofer,15,,Austria,NÖ,3/4/2020
Chuchi,Jesús Muñoz Vaquero,15,FA,Spain,Madrid,09/05/2019
Človek ne jezi se,Matej Sova,16,,Slovenia,Misja Pec,3/18/2004
Colombe,Dave Graham,15,FA,Switzerland,Vernayaz,12/19/2016
Country house,Matej Sova,16,,Unknown,Vipavska Bela,03/16/2000
Creature from the Black Lagoon,Carlo Traversi,16,,United States,RMNP,07/24/2020
Creature from the Black Lagoon,Daisuke Ichimiya,16,,United States,RMNP,09/15/2017
Creature from the Black Lagoon,Daniel Woods,16,FA,United States,RMNP,09/28/2016
Creature from the Black Lagoon,Dylan Barks,16,,United States,RMNP,08/31/2021
Creature from the Black Lagoon,James Webb,16,,United States,RMNP,08/20/2017
Creature from the Black Lagoon,Matt Fultz,16,,United States,RMNP,07/04/2021
Creature from the Black Lagoon,Peter Satt,16,,United States,RMNP,08/18/2021
Creature from the Black Lagoon,Dave Graham,16,,United States,RMNP,10/25/2016
Creature from the Black Lagoon,Drew Ruana,16,,United States,RMNP,08/30/2020
Creature from the Black Lagoon,Griffin Whiteside,16,,United States,RMNP,07/01/2018
Creature from the Black Lagoon,Shawn Raboutou,16,,United States,RMNP,10/01/2018
Crisis,Alberto Rocasolano,15.5,,Spain,Crevillente,
Crisis,Jonathan Flor Vazquez,15.5,,Spain,Crevillente,
Crisis,Nacho Sanchez,15.5,FA,Spain,Crevillente,
Crystal Ship,Clément Lechaptois,15,,Switzerland,Ticino,1/10/2021
Crystal Ship,Giuliano Cameroni,15,FA,Switzerland,Ticino,01/08/2021
Crystal Ship,Kim Marschner,15,,Switzerland,Ticino,01/08/2022
Cthulhu,Nacho Sanchez,15,FA,Spain,Arnao,
Dagger sit,jedrzej wilczynski,15,,Switzerland,Ticino,07/23/2018
Das Schwert,Stephan Rest,15,,Austria,Hammerhöhle,11/18/2020
Death Star,Matt Fultz,15,,United States,Eldora,10/24/2020
Death Star,Daniel Woods,15,FA,United States,Eldora,04/22/2020
Defying Gravity,Daniel Woods,15,FA,United States,South Platte,11/16/2013
Defying Gravity,James Webb,15,,United States,South Platte,11/21/2014
Delire Onirique (assis),Charles Albert,15,FA,France,Fontainebleau,
Delire Onirique (assis),Ryohei Kameyama,15,,France,Fontainebleau,3/22/2019
Delirium,Daniel Woods,15,,United States,Lincoln Lake,09/18/2013
Delirium,James Webb,15,FA,United States,Lincoln Lake,09/10/2013
Delirium,Matt Fultz,15,,United States,Lincoln Lake,06/17/2019
Delirium,Nick Bradley,15,,United States,Lincoln Lake,7/14/2021
Delirium,Paul Robinson,15,,United States,Lincoln Lake,09/27/2018
Delirium,Peter Satt,15,,United States,Lincoln Lake,06/30/2021
Delirium,Dave Graham,15,,United States,Lincoln Lake,
Delirium,Griffin Whiteside,15,,United States,Lincoln Lake,
Der mit dem Fels tanzt,Dai Koyamada,15,,Switzerland,Ticino,
Der mit dem Fels tanzt,Martin Keller,15,FA,Switzerland,Ticino,
Der mit dem Fels tanzt,Christof Rauch,15,,Switzerland,Ticino,12/29/2018
Der mit dem Fels tanzt,Giuliano Cameroni,15,,Switzerland,Ticino,02/07/2017
