Route,Name,Grade,FA,Country,Area,Date
Game,Carlo Traversi,15,,United States,Boulder Canyon,03/13/2011
Game,Daniel Woods,15,FA,United States,Boulder Canyon,02/10/2010
Game,James Webb,15,,United States,Boulder Canyon,1/16/2016
Game,Jon Cardwell,15,,United States,Boulder Canyon,01/08/2013
Game,Matt Fultz,15,,United States,Boulder Canyon,1/22/2020
Game,Ryuichi Murai,15,,United States,Boulder Canyon,05/12/2019
Game,Zach Galla,15,,United States,Boulder Canyon,03/16/2020
Gekirin,Dai Koyamada,15,FA,Japan,Ryutosen,01/01/2018
Gekirin,Daisuke Ichimiya,15,,Japan,Ryutosen,3/11/2018
Ghost Rider,Adam Ondra,15,,Czech Republic,Moravský kras,09/24/2019
Ghost Rider,Martin Stranik,15,FA,Czech Republic,Moravský kras,8/6/2019
Gioia,Adam Ondra,16,,Italy,Varazze,12/6/2011
Gioia,Christian Core,16,FA,Italy,Varazze,01/01/2008
Gioia,elias iagnemma,16,,Italy,Varazze,02/13/2021
Gioia,Nalle Hukkataival,16,,Italy,Varazze,02/22/2014
Gossip,John Gaskins,15,,Germany,Frankenjura,
Gossip,Markus Bock,15,FA,Germany,Frankenjura,04/15/2002
Gossip,Markus Windisch,15,,Germany,Frankenjura,
Gran Paradiso,Giuliano Cameroni,15,FA,Italy,Valdell'orco,11/13/2019
Grand Illusion,Daniel Woods,16,,United States,Little Cottonwood Canyon,6/7/2021
Grand Illusion,Matt Fultz,16,,United States,Little Cottonwood Canyon,06/22/2021
Grand Illusion,Zach Galla,16,,United States,Little Cottonwood Canyon,11/14/2021
Grand Illusion,Nathaniel Coleman,16,FA,United States,Little Cottonwood Canyon,08/27/2020
Grand Illusion,Sean Bailey,16,,United States,Little Cottonwood Canyon,01/07/2021
graublau,Toni Lamprecht,15,FA,Germany,Kochel,02/27/2015
grosse Tarlouze,Christof Rauch,15,,Switzerland,Magic Wood,05/30/2019
grosse Tarlouze,Giani Clement,15,,Switzerland,Magic Wood,11/8/2019
grosse Tarlouze,Michael Piccolruaz,15,FA,Switzerland,Magic Wood,03/31/2015
Half-Life,Felix Knaub,15,FA,Germany,Frankenjura,
Half-Life,Moritz Welt,15,,Germany,Frankenjura,11/23/2021
Hallucination,Kazuma Ise,16,FA,Japan,Hourai,11/3/2020
Harder Better Faster,Charles Albert,15,FA,Switzerland,,01/08/2020
Hazel Grace,Giuliano Cameroni,15,FA,Switzerland,Ticino,08/01/2017
Heavens Gate,James Webb,15,FA,United States,California,06/30/2020
Hipoxia,Alberto Rocasolano,15,FA,Spain,Navalosa,
Horizon,Ashima Shiraishi,15,,Japan,Mt. Hiei,03/21/2016
Horizon,Daisuke Ichimiya,15,,Japan,Mt. Hiei,01/13/2017
Horizon,Dai Koyamada,15,FA,Japan,Mt. Hiei,
Hull Shea Nation,Dai Koyamada,15,FA,Japan,Hourai,
HUNGRY DOG,Sergei Skorodumov,15,FA,Russia,Tiversk,10/16/2021
Hurricane,Bern Schwaiger,15,FA,Austria,Birgkar,06/14/2009
Hydrangea,Dai Koyamada,15,FA,Japan,Shiobara,04/22/2005
Hydrangea,Daniel Woods,15,,Japan,Shiobara,2/14/2013
Hydrangea,Motochika Nagao,15,,Japan,Shiobara,
Hydrangea,Naoki Shimatani,15,,Japan,Shiobara,03/13/2020
Hydrangea,Ryuichi Murai,15,,Japan,Shiobara,04/13/2016
Hydrangea,Sachi Amma,15,,Japan,Shiobara,
Hydrangea,Shinichiro Nomura,15,,Japan,Shiobara,05/24/2018
Hymn,Jongwon Chon,15,FA,South Korea,Mudeungsan National Park,
Hyper ballad,Si O'Conor,15,,Japan,Shiobara,08/13/2004
Hyper ballad,Dai Koyamada,15,FA,Japan,Shiobara,03/31/2006
Hypnotized Minds,Daniel Woods,16,FA,United States,RMNP,10/21/2010
Hypnotized Minds,Matt Fultz,16,,United States,RMNP,09/28/2020
Hypnotized Minds,Dave Graham,16,,United States,RMNP,01/10/2019
Hypnotized Minds,Rustam Gelmanov,16,,United States,RMNP,06/18/2016
Hypothese Assis,Charles Albert,16,FA,France,Fontainebleau,12/8/2018
Ice Knife,Daniel Woods,15,FA,United States,GuanelPass,11/02/2013
Ice Knife,Dave Graham,15,FA,United States,GuanelPass,10/18/2011
Ice Knife,Paul Robinson,15,,United States,GuanelPass,05/19/2013
Ice Storm,Bern Schwaiger,15,FA,Austria,Großarltal,02/07/2015
Iceberg,Adam Ondra,15,,Czech Republic,Moravský kras,4/23/2020
Iceberg,Martin Stranik,15,FA,Czech Republic,Moravský kras,01/01/2020
Iechyd da,Toby Saxton,15,FA,Austria,Innsbruck,07/06/2019
Il Pirata,John Gaskins,15,FA,United Kingdom,Lake District,
Ill Trill,Paul Robinson,15,FA,Switzerland,Magic Wood,10/12/2010
In depths of Solitude,Paul Robinson,15,FA,South Africa,Three corners,07/15/2014
In Search of Time Lost,Carlo Traversi,15,,Switzerland,Magic Wood,10/19/2012
In Search of Time Lost,Dai Koyamada,15,,Switzerland,Magic Wood,
In Search of Time Lost,Daniel Woods,15,FA,Switzerland,Magic Wood,5/9/2008
In Search of Time Lost,Ryuichi Murai,15,,Switzerland,Magic Wood,07/04/2017
In Search of Time Lost,Tamas Zupan,15,,Switzerland,Magic Wood,07/09/2014
Insanity of Grandeur,Chris Webb Parsons,15,,Switzerland,Ticino,12/20/2013
Insomniac,Drew Ruana,16,FA,United States,Lincoln Lake,07/11/2021
Insomnio,Nacho Sanchez,15,FA,Spain,Crevillente,
Iron Knuckles,Christof Rauch,15,FA,Austria,Kärnten,05/14/2017
Island,Dave Graham,15,FA,France,Fontainebleau,04/07/2008
Jour de Chasse,Guillaume Glairon-Mondet,15,,France,Fontainebleau,01/21/2014
Jour de Chasse,Jan hojer,15,FA,France,Fontainebleau,12/8/2013
Jour de Chasse,kevin LOPATA,15,,France,Fontainebleau,02/03/2016
Jour de Chasse,Levier Alban,15,,France,Fontainebleau,12/09/2016
Jour de chasse,Ryohei Kameyama,15,,France,Fontainebleau,11/03/2017
Jupiter,Mauricio Huerta,15,FA,Mexico,Mineral del chico,03/15/2020
Kaisen,Jorge diaz-rullo,15.5,,Spain,Madrid,11/07/2017
Kaisen,Alberto Rocasolano,15.5,FA,Spain,Madrid,
Karamu,Dai Koyamada,15,FA,Japan,,
karoshi,Paul Robinson,15,FA,United States,Hueco Tanks,12/15/2018
Khoikhoi,James Webb,15,FA,South Africa,N1,06/22/2014
Kikela,Isaac Montes,15,FA,Spain,Teverga,
Kimera,Christian Core,15,FA,Italy,Rifugio Barbara,
Kimera,elias iagnemma,15,,Italy,Rifugio barbara,08/09/2021
Kingdom,Carlo Traversi,15,FA,Switzerland,Ticino,03/31/2013
Kingdom,Daniel Woods,15,,Switzerland,Ticino,04/16/2019
Kingdom,elias iagnemma,15,,Switzerland,Ticino,01/20/2021
Kingdom,James Webb,15,,Switzerland,Ticino,03/19/2014
Kingdom,Matt Fultz,15,,Switzerland,Ticino,03/11/2020
Kingdom,Vadim Timonov,15,,Switzerland,Ticino,12/12/2019
Kintsugi,James Webb,15,,United States,Red Rock,12/19/2016
Kintsugi,M ario,15,,United States,Red Rock,12/10/2018
Kintsugi,Ethan Pringle,15,,United States,Red Rock,
Kintsugi,Keen Takahashi,15,,United States,Red Rock,
Kintsugi,Nalle Hukkataival,15,FA,United States,Red Rock,
Kintsugi,Nils Favre,15,,United States,Red Rock,
Knocking on heaven's door,Petr Resch,15,FA,Czech Republic,Petrohrad,11/15/2010
Konec Mira,Matej Sova,16,,Slovenia,Misja Pec,4/10/2001
Kráter,Adam Ondra,15,FA,Czech Republic,Holstejn,06/24/2017
Kryptos,elias iagnemma,15,,Switzerland,Basler Jura,1/20/2021
Kryptos,Kevin Heiniger,15,,Switzerland,Basler Jura,4/24/2017
Kryptos,Franz Widmer,15,FA,Switzerland,Basler Jura,
Kryptos,Frederic Nicole,15,,Switzerland,Basler Jura,
Kryptos,Kaddi Lehmann,15,,Switzerland,Basler Jura,
Kuzan,Ryohei Kameyama,15,,Japan,Mie,02/12/2019
Kuzan,Toshi Takeuchi,15,FA,Japan,Mie,02/19/2017
Last Jedi,Tamas Zupan,15,FA,Hungary,Remete-barlang,1/11/2018
Ledoborec,Adam Ondra,16,,Czech Republic,Moravský kras,05/24/2020
Lemento sit,Carlos Ruano,15,FA,Spain,Pedriza,03/30/2019
Livin Large,James Webb,15.5,,South Africa,Rocklands,7/7/2015
Livin Large,Nalle Hukkataival,15.5,FA,South Africa,Rocklands,
Livin Large,Shawn Raboutou,15.5,,South Africa,Rocklands,
Loca,Shinichiro Nomura,15,FA,Japan,Shiobara,12/30/2021
Longue promesse,Antoine Girard,15,,France,pertuis,04/07/2021
Longue promesse,Nathan MICHEL,15,FA,France,pertuis,10/21/2020
Low Miall's,Yves Gravelle,15,FA,Canada,KANATA TREMBLANT,09/24/2021
Low priora,Alexey Rubtsov,15.5,,Russia,Djan-tugan,08/21/2021
Low priora,Vadim Timonov,15.5,FA,Russia,Djan-tugan,10/26/2020
Lucid Dreaming,Daniel Woods,15,,United States,Bishop,01/28/2014
Lucid Dreaming,James Webb,15,,United States,Bishop,01/07/2020
Lucid Dreaming,Paul Robinson,15,FA,United States,Bishop,03/30/2010
Lucid Dreaming,Alex Megos,15,,United States,Bishop,
Lucid Dreaming,Toru Nakajima,15,,United States,Bishop,
Lurragorri,Markel Mendieta,15,FA,Spain,Araotz,
Malediction assis,Clement Lechaptois,15,FA,France,Riouperoux,
Mandragora,Shinichiro Nomura,15,,Japan,Shiobara,05/25/2021
"Marathon de Boissy, Le",Guillaume Glairon-Mondet,15,,France,Fontainebleau,12/30/2014
"Marathon de Boissy, Le",Jan hojer,15,FA,France,Fontainebleau,03/08/2014
Maria Singer,Toni Lamprecht,15,FA,Germany,Kochel,03/11/2004
Matriarch,James Webb,15,FA,United States,Rocktown,12/22/2015
Meadowlark Lemon,Dave Graham,15,,United States,Red Rock,01/08/2013
Meadowlark Lemon,Paul Robinson,15,FA,United States,Red Rock,1/12/2012
Mediomalomania,Pirmin Bertle,15,FA,Switzerland,Interlaken,11/04/2015
Megalodonte,Simone Tentori,15,,Italy,Val di Mello,04/17/2021
Metafizika,Jernej Kruder,15,FA,Slovenia,Jurkloster,09/26/2018
Methuselahzation,Dai Koyamada,15,FA,Unknown,Yatsue,02/08/2004
Metropolis,Michael Duffy,15,FA,Ireland,Lough Tay,
Mikelon,Iban Larrion,15,FA,Spain,Baltzola,
Millenium assis,Elric Besnier,15,FA,France,Fontainebleau,
Minimalomania,Alexander Rohr,15.5,,Switzerland,Interlaken,10/14/2020
Minimalomania,Pirmin Bertle,15.5,FA,Switzerland,Interlaken,01/29/2013
Misti,kevin LOPATA,15,,France,Fontainebleau,01/13/2016
Mona Lisa,Shinichiro Nomura,15,,Japan,Hourai,03/29/2020
Mona Lisa,Kazuma Ise,15,,Japan,Hourai,11/04/2020
Monkey Wedding,Adam Ondra,15,,South Africa,Rocklands,08/14/2011
Monkey Wedding,Aiden Roberts,15,,South Africa,Rocklands,
Monkey Wedding,Alex Khazanov,15,,South Africa,Rocklands,07/06/2017
Monkey Wedding,Alex Megos,15,,South Africa,Rocklands,
Monkey Wedding,Charles Albert,15,,South Africa,Rocklands,
Monkey Wedding,Daniel Woods,15,,South Africa,Rocklands,08/13/2012
Monkey Wedding,Dave Graham,15,,South Africa,Rocklands,
Monkey Wedding,Frederic Nicole,15,FA,South Africa,Rocklands,2002
Monkey Wedding,Giuliano Cameroni,15,,South Africa,Rocklands,08/27/2019
Monkey Wedding,James Webb,15,,South Africa,Rocklands,06/27/2019
Monkey Wedding,M ario,15,,South Africa,Rocklands,08/19/2019
Monkey Wedding,Nacho Sanchez,15,,South Africa,Rocklands,
Monkey Wedding,Nalle Hukkataival,15,,South Africa,Rocklands,
Monkey Wedding,Paul Robinson,15,,South Africa,Rocklands,08/24/2010
Monkey Wedding,Rasmus Holm Eskildsen,15,,South Africa,Rocklands,07/22/2019
Monkey Wedding,Shawn Raboutou,15,,South Africa,Rocklands,
Monkey Wedding,Toby Saxton,15,,South Africa,Rocklands,08/21/2017
Monkey Wedding,Toshi Takeuchi,15,,South Africa,Rocklands,08/13/2018
Monkey Wedding,Vadim Timonov,15,,South Africa,Rocklands,07/24/2016
Montecore,Dai Koyamada,15,,Germany,Frankenjura,10/14/2007
Moonlight Sonata,Taylor McNeill,16,FA,United States,Joe's Valley,10/03/2021
Mystical Patatohead's Direct Edge,Alexander Feichter,15,FA,Italy,Gais,10/28/2016
Nayuta,Dai Koyamada,16,FA,Japan,Gero,04/12/2017
Nehanna,Shinichiro Nomura,15,,Japan,Gero,12/24/2021
Nest,Daniel Woods,15,FA,United States,Red Rock,12/18/2013
Nest,James Webb,15,,United States,Red Rock,12/19/2013
Nest,John Brock,15,,United States,Red Rock,02/11/2021
Nest,Jon Glassberg,15,,United States,Red Rock,03/31/2021
Nest,Liam A-Biscuit,15,,United States,Red Rock,11/22/2020
Nest,M ario,15,,United States,Red Rock,1/25/2018
Nest,Matt Fultz,15,,United States,Red Rock,02/11/2021
Nest,Paul Robinson,15,,United States,Red Rock,12/24/2013
Nest,Peter Satt,15,,United States,Red Rock,02/11/2021
Nest,Facundo Langbehn,15,,United States,Red Rock,
Nest,Ethan Pringle,15,,United States,Red Rock,
Nest,Keen Takahashi,15,,United States,Red Rock,
Nest,Nalle Hukkataival,15,,United States,Red Rock,
Netsuke,Frederic Nicole,15,FA,Switzerland,,
New base line,Bernd Zangerl,15,FA,Switzerland,Magic Wood,12/12/2002
New base line,Frederic Nicole,15,,Switzerland,Magic Wood,03/01/2003
New Chapter,Paul Robinson,15,FA,United States,Arkansas,03/20/2013
Nexus,Ryuichi Murai,16,FA,Japan,Shiobara,10/23/2021
No Additives sit,Griffin Whiteside,15,FA,United States,Joe's Valley,
No Kptoe Only,Ryohei Kameyama,15,Unknown Crag,France,Fontainebleau,03/09/2019
No Kptoe Only,Charles Albert,15,FA,France,Fontainebleau,
No Kptoe Only,Nico Pelorson,15,,France,Fontainebleau,01/01/2020
Noise vs Beauty,Daniel Woods,15,FA,South Africa,Rocklands,06/18/2015
Noise vs Beauty,Dave Graham,15,,South Africa,Rocklands,
Noise vs Beauty,Moritz Perwitzschky,15,,South Africa,Rocklands,
Noise vs Beauty,Nalle Hukkataival,15,,South Africa,Rocklands,https://www.facebook.com/hukkataival/videos/1131481686865384/
Noise vs Beauty,Paul Robinson,15,,South Africa,Rocklands,07/07/2017
Noise vs Beauty,Vadim Timonov,15,,South Africa,Rocklands,7/17/2019
Nunavut,Adam Ondra,15,FA,Czech Republic,Moravský kras,11/14/2019
Obsesja,Lukasz Dudek,15,FA,Poland,Kusieta,11/27/2015
Ochimizu,Dai Koyamada,15.5,FA,Japan,,
Off the Wagon Sit,Daniel Woods,16,,Switzerland,Valle Bavona,3/7/2020
Off the Wagon Sit,Giuliano Cameroni,16,,Switzerland,Valle Bavona,04/13/2021
Off the Wagon Sit,James Webb,16,,Switzerland,Valle Bavona,02/27/2020
Off the Wagon Sit,Sergei Topishko,16,,Switzerland,Valle Bavona,12/26/2021
Off the Wagon Sit,Yannick Flohé,16,,Switzerland,Valle Bavona,01/01/2022
Off the Wagon Sit,Shawn Raboutou,16,FA,Switzerland,Valle Bavona,02/05/2019
Off the Wagon Sit,Simon Lorenzi,16,,Switzerland,Valle Bavona,11/26/2021
Origin Sit,Eliot Stephens,15,FA,United Kingdom,Dinas rock,04/21/2021
Orochi,Alex Megos,15,,Japan,Kanoto,
Orochi,Dai Koyamada,15,FA,Japan,Kanoto,11/22/2006
Orochi,Makoto Yamauchi,15,,Japan,Kanoto,10/31/2014
Orochi,Ryuichi Murai,15,,Japan,Kanoto,10/20/2015
Orochi,Shinichiro Nomura,15,,Japan,Kanoto,02/17/2018
Orochi,Toshi Takeuchi,15,,Japan,Kanoto,04/18/2015
Outer Limits,Carlo Traversi,15,,United States,Donner summit,05/10/2019
Outer Limits,James Webb,15,FA,United States,Donner summit,10/11/2017
Outer Limits,M ario,15,,United States,Donner summit,10/7/2020
Paint it Black,Austin Purdy,15,,United States,RMNP,11/10/2021
Paint it Black,Daniel Woods,15,FA,United States,RMNP,2/29/2012
Paint it Black,Dave Graham,15,,United States,RMNP,04/28/2012
Paint it Black,Fanny Dong,15,,United States,RMNP,05/18/2019
Paint it Black,Matt Fultz,15,,United States,RMNP,04/21/2019
Paint it Black,Nicholas Milburn,15,,United States,RMNP,12/24/2016
Paint it Black,Nick Bradley,15,,United States,RMNP,04/07/2021
Paint it Black,Paul Robinson,15,,United States,RMNP,4/18/2012
Paint it Black,Peter Satt,15,,United States,RMNP,03/17/2020
Paint it Black,T Chen,15,,United States,RMNP,03/07/2020
Paint it Black,Drew Ruana,15,,United States,RMNP,03/01/2020
Paint it Black,Griffin Whiteside,15,,United States,RMNP,
Paint it Black,Ian Dory,15,,United States,RMNP,
Paint it Black,Toru Nakajima,15,,United States,RMNP,
Papa Oso,Jorge diaz-rullo,15,,Spain,Torrelodones,01/19/2020
Papa Oso,Alberto Rocasolano,15,FA,Spain,Torrelodones,
Papa Oso,Nacho Sanchez,15,,Spain,Torrelodones,
Paralisis Espastica,Cesar Quero,15,FA,Spain,Madrid,07/01/2017
Parzival,Dave Graham,15,FA,South Africa,Rocklands,
Parzival,James Webb,15,,South Africa,Rocklands,7/16/2019
Pata Ledovce,Adam Ondra,15,FA,Czech Republic,Holstejn,09/06/2011
Pata Ledovce,Martin Stranik,15,,Czech Republic,Moravský kras,3/21/2019
Pegasus,Matt Fultz,15,,United States,Joe's Valley,03/23/2021
Pegasus,Drew Ruana,15,1,United States,Joe's Valley,02/01/2020
Pegasus,Sean Bailey,15,,United States,Joe's Valley,11/01/2020
Pegasus,Daniel Woods,15,,United States,Joe's Valley,4/14/2021
Pegasus,Zach Galla,15,,United States,Joe's Valley,11/27/2021
Petrichor,Dave Graham,15,FA,South Africa,Rocklands,01/08/2021
Petrichor,Vadim Timonov,15,,South Africa,Rocklands,07/10/2021
"Pied a Coulisse, Le",Charles Albert,15,,France,Fontainebleau,
"Pied a Coulisse, Le",Nico Januel,15,,France,Fontainebleau,
"Pied a Coulisse, Le",Guillaume Glairon-Mondet,15,FA,France,Fontainebleau,1/15/2016
"Pied a Coulisse, Le",James Webb,15,,France,Fontainebleau,02/15/2016
Pilier du Désert assis,Michiel Nieuwenhuijsen,15,FA,France,Fontainebleau,3/7/2021
Pipe Dream SD,Bern Schwaiger,15,FA,Austria,Innsbruck,02/09/2010
Pirate's Code,Daniel Woods,15,,South Africa,Three corners,08/02/2018
Pirate's Code,Paul Robinson,15,FA,South Africa,Three corners,7/16/2018
"Poinconneur des Lilas, Le",Franz Widmer,15,,Switzerland,Basler Jura,
"Poinconneur des Lilas, Le",Frederic Nicole,15,FA,Switzerland,Basler Jura,
Poison Well,Giuliano Cameroni,16,FA,Switzerland,Ticino,02/12/2019
Poison Well,James Webb,16,,Switzerland,Ticino,04/07/2020
Posledni mazoret,Rosta Stefanek,15,FA,Czech Republic,Labské Údolí,10/09/2007
Power of Now,Giuliano Cameroni,15,FA,Switzerland,Magic Wood,7/2/2020
Power of Now,James Squire,15,,Switzerland,Magic Wood,08/25/2020
Practice of the Wild,Anthony Gullsten,15,,Switzerland,Magic Wood,
Practice of the Wild,Baptiste Ometz,15,,Switzerland,Magic Wood,
Practice of the Wild,Dave Macleod,15,,Switzerland,Magic Wood,
Practice of the Wild,David Firnenburg,15,,Switzerland,Magic Wood,
Practice of the Wild,GabrieMoroni,15,,Switzerland,Magic Wood,
Practice of the Wild,Nalle Hukkataival,15,,Switzerland,Magic Wood,
Practice of the Wild,Vadim Timonov,15,,Switzerland,Magic Wood,
Practice of the Wild,Adam Ondra,15,,Switzerland,Magic Wood,10/1/2011
Practice of the Wild,Alex Khazanov,15,,Switzerland,Magic Wood,09/09/2017
Practice of the Wild,Carlo Traversi,15,,Switzerland,Magic Wood,10/23/2012
Practice of the Wild,Chris Sharma,15,FA,Switzerland,Magic Wood,8/1/2004
Practice of the Wild,Daniel Woods,15,,Switzerland,Magic Wood,04/16/2011
Practice of the Wild,Giani Clement,15,,Switzerland,Magic Wood,05/23/2019
Practice of the Wild,James Webb,15,,Switzerland,Magic Wood,04/15/2014
Practice of the Wild,Martin Stranik,15,,Switzerland,Magic Wood,10/28/2014
Practice of the Wild,Ryuichi Murai,15,,Switzerland,Magic Wood,07/09/2017
Practice of the Wild,Toby Saxton,15,,Switzerland,Magic Wood,06/18/2019
Practice of the Wild,Toshi Takeuchi,15,,Switzerland,Magic Wood,08/15/2015
Practice of the Wild,Tyler Landman,15,,Switzerland,Magic Wood,09/26/2008
Practice of the Wild,William Bosi,15,,Switzerland,Magic Wood,09/27/2018
Primitivo,Jakob Schubert,15,,Switzerland,Valle Bavona,03/01/2021
Primitivo,Daniel Woods,15,,Switzerland,Valle Bavona,03/05/2020
Primitivo,Giuliano Cameroni,15,,Switzerland,Valle Bavona,04/01/2019
Primitivo,James Webb,15,FA,Switzerland,Valle Bavona,05/16/2019
Primitivo,Martin Stranik,15,,Switzerland,Valle Bavona,2/8/2020
Primitivo,Nicolai Užnik,15,,Switzerland,Valle Bavona,03/16/2021
Process,Daniel Woods,16,FA,United States,Bishop,01/15/2015
Progressive Aggression,Chris Webb Parsons,15,FA,Australia,Crumbly,08/04/2008
Pučmeloun,Adam Ondra,15,FA,Czech Republic,Moravský kras,11/14/2019
PurpPanther,Pol Roca Lopez,15,FA,Spain,Taradell,1/12/2021
Quoi de Neuf,Antoine Maire,15,,France,Fontainebleau,10/06/2020
Quoi de Neuf,Coudert Camille,15,,France,Fontainebleau,5/22/2019
Quoi de Neuf,Jan hojer,15,,France,Fontainebleau,12/02/2017
Quoi de Neuf,killian chabrier,15,,France,Fontainebleau,03/27/2021
Quoi de Neuf,ludo Delmotte,15,,France,Fontainebleau,9/25/2020
Quoi de Neuf,Remy Bergasse,15,FA,France,Fontainebleau,09/29/2008
Quoi de Neuf,Alban Levier,15,,France,Fontainebleau,
Quoi de Neuf,Jonas Winter,15,,France,Fontainebleau,
Quoi de Neuf,Sebastien Bouin,15,,France,Fontainebleau,
Raha,Masoud Ghasemi,15,,Iran,jasb,08/13/2016
Raha,Masoud Ghasemi,15,FA,Iran,jasb,07/31/2015
Railway,Matt Fultz,15,,United States,Boulder/CO,10/15/2019
Raison D'Ere,Si O'Conor,15,,Unknown,Cire Lagan,03/01/2006
REAL ABSURDISTAN,Toni Lamprecht,15,FA,Germany,Kochel,12/02/2019
Red Bottom Sky,Dave Graham,15,FA,South Africa,Rocklands,
Return of Sleepwalker,Daniel Woods,17,FA,United States,Red Rock,03/31/2021
"Revolutionnaire Extension, La",Ryohei Kameyama,16,,France,Fontainebleau,03/16/2019
"Revolutionnaire Extension, La",Charles Albert,16,FA,France,Fontainebleau,11/10/2017
"Revolutionnaire, La",Charles Albert,15,FA,France,Fontainebleau,
Road Sweet Home,Nalle Hukkataival,15,FA,Australia,Grampians,
Roadkill,Clément Lechaptois,15,,Switzerland,Valle Bavona,12/6/2021
Roadkill,Dave Graham,15,,Switzerland,Valle Bavona,01/12/2021
Roadkill,James Webb,15,,Switzerland,Valle Bavona,04/07/2020
Roadkill,Kim Marschner,15,,Switzerland,Valle Bavona,03/10/2021
Roadkill,Shawn Raboutou,15,FA,Switzerland,Valle Bavona,
Rokudo,Ryuichi Murai,15,,Japan,Toyamagawa,04/07/2021
Rokudo,Shinichiro Nomura,15,,Japan,Toyamagawa,03/31/2021
Rokudo,Dai Koyamada,15,FA,Japan,Toyamagawa,
"Rustica, La",Daniel Woods,15,,Switzerland,Valle Bavona,05/06/2019
"Rustica, La",Giuliano Cameroni,15,,Switzerland,Valle Bavona,4/10/2021
"Rustica, La",Jernej Kruder,15,,Switzerland,Valle Bavona,12/16/2021
"Rustica, La",Sergei Topishko,15,,Switzerland,Valle Bavona,12/31/2021
"Rustica, La",Daniel Woods,15,,Switzerland,Valle Bavona,01/05/2019
"Rustica, La",Giuliano Cameroni,15,,Switzerland,Valle Bavona,04/01/2021
"Rustica, La",James Webb,15,FA,Switzerland,Valle Bavona,04/07/2013
"Rustica, La",Nalle Hukkataival,15,,Switzerland,Valle Bavona,10/01/2018
Satan i Helvete (broken),Alban Levier,15,,France,Fontainebleau,
Satan i Helvete (broken),Oriane Bertone,15,,France,Fontainebleau,
Serenata,William Bosi,15,,United Kingdom,Maltby,09/03/2020
Serenata,Mike Adams,15,FA,United Kingdom,Maltby,
Serenation,Mike Adams,15,FA,United Kingdom,Maltby,
Shadowplay,John Gaskins,15,FA,United Kingdom,Lake District,
shambala,Daisuke Ichimiya,15,,Japan,Toyota,12/31/2014
shambala,Shinichiro Nomura,15,,Japan,Toyota,12/14/2017
Sierra Madre,Alfons Dornauer,15,,Austria,Zillertal,5/29/2018
Sierra Madre,Christof Rauch,15,,Austria,Zillertal,11/24/2019
Sierra Madre,Jan-luca Posch,15,,Austria,Zillertal,10/08/2020
Sierra Madre,Michael Piccolruaz,15,,Austria,Zillertal,03/15/2020
Silver Lining,Andy Gullsten,15,FA,,,
Sleepwalker,Daniel Woods,16,,United States,Red Rock,01/16/2019
Sleepwalker,James Webb,16,FA,United States,Red Rock,01/23/2019
Sleepwalker,Matt Fultz,16,,United States,Red Rock,2/3/2021
Sleepwalker,Nathan Williams,16,,United States,Red Rock,12/27/2020
Sleepwalker,Drew Ruana,16,,United States,Red Rock,01/27/2020
Sleepwalker,Nalle Hukkataival,16,,United States,Red Rock,02/03/2019
Sleepy Rave,Dai Koyamada,15,FA,Australia,Grampians,04/15/2004
Sleepy Rave,James Kassay,15,,Australia,Grampians,11/3/2009
smile,Giuliano Cameroni,15,FA,South Africa,Rocklands,07/14/2018
So What,Yves Gravelle,15,FA,Canada,KANATA TREMBLANT,10/4/2021
Solitary daze,Clément Lechaptois,15,FA,Switzerland,Fionnay,09/29/2021
Sound of Silence,Bern Schwaiger,15,FA,Austria,Innsbruck,12/30/2016
Sound of Violence,Matt Fultz,15,FA,United States,Joe's Valley,03/27/2021
Southern drawl,Nicholas Milburn,15,,United States,Chattanooga,11/24/2020
Southern drawl,Taylor McNeill,15,,United States,Chattanooga,01/16/2019
Soyuz,Cesar Quero,15,,Spain,Madrid,12/26/2016
Soyuz,Jorge diaz-rullo,15,,Spain,Madrid,03/26/2019
Soyuz (low),Alberto Rocasolano,15,,Spain,Madrid,
Spray of Light,Daniel Woods,15,FA,South Africa,Rocklands,7/12/2015
Spray of Light,Dave Graham,15,,South Africa,Rocklands,07/28/2015
Spray of Light,Giuliano Cameroni,15,,South Africa,Rocklands,08/25/2019
Spray of Light,James Squire,15,,South Africa,Rocklands,06/10/2019
Spray of Light,James Webb,15,,South Africa,Rocklands,08/21/2019
Spray of Light,Kim Marschner,15,,South Africa,Rocklands,08/30/2018
Spray of Light,Martin Mobraten,15,,South Africa,Rocklands,
Spray of Light,Ryuichi Murai,15,,South Africa,Rocklands,09/17/2016
Spray of Light,Shawn Raboutou,15,,South Africa,Rocklands,
Spray of Light,Thilo Jeldrik Schroeter,15,,South Africa,Rocklands,07/13/2018
Spray of Light,Toshi Takeuchi,15,,South Africa,Rocklands,8/1/2016
Spray of Light,Vadim Timonov,15,,South Africa,Rocklands,07/17/2021
Squoze,Carlo Traversi,15,,United States,Red Rock,3/9/2019
Squoze,Daniel Woods,15,,United States,Red Rock,01/16/2019
Squoze,James Webb,15,FA,United States,Red Rock,12/06/2018
Squoze,Taylor McNeill,15,,United States,Red Rock,03/19/2019
Squoze,Zach Galla,15,,United States,Red Rock,11/09/2019
"Stepping Stone, The",Nalle Hukkataival,15,FA,Australia,Grampians,
Stil vor Talent,Christof Rauch,15,,Switzerland,Magic Wood,10/30/2021
